start,end,movie,scaled_start,scaled_end,cmd_filename,imdbid,movie_title,cmd_clip_idx,duration,num_words,num_string
1395.463,1397.345,7212,4.380339880908643,6.380339880908643,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2,7,45
1397.926,1400.828,7212,6.901513366324222,9.80193745,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2.9004240832301385,12,65
1401.108,1401.769,7212,9.412105920544011,11.412105920544011,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2,2,11
1402.089,1403.17,7212,10.602459153875207,12.602459153875207,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2,4,26
1418.403,1420.465,7212,27.367393432589854,29.42827367367192,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2.0608802410820672,10,47
1420.685,1422.726,7212,29.64815420375831,31.688045848786945,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2.039891645028636,9,42
1434.494,1435.715,7212,43.05982376548685,45.05982376548685,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2,4,24
1441.92,1445.544,7212,50.871622641866985,54.49365464656234,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,3.622032004695356,16,80
1446.264,1450.368,7212,55.21326365411751,59.315034997183126,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,4.101771343065614,17,91
1451.029,1453.892,7212,59.97567604,62.83712130638477,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2.8614452619875763,10,59
1454.472,1457.375,7212,63.41680634024874,66.31822988043379,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2.90142354,10,57
1458.016,1459.898,7212,66.89937078314571,68.89937078314571,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2,9,46
1467.223,1469.044,7212,76.07088753013436,78.07088753013436,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2,8,41
1469.544,1472.545,7212,78.48062156507449,81.47999188684341,2014/ewEreSjPyC4,tt0042208,The Asphalt Jungle,1,2.9993703217689216,11,62
2637.518,2639.018,7212,90.32744550538584,92.32744550538584,2014/48kV7uKAzEU,tt0042208,The Asphalt Jungle,2,2,7,34
3257.716,3258.497,7212,1.6044999999999172,3.604499999999917,2014/-nboVp_nTkg,tt0042208,The Asphalt Jungle,3,2,2,10
